model,embedding_type,layer_name,probe_dir,auroc,status
SmolVLM2-2.2B,vision_token_representation,layer_0,vision_token_layer0,0.6829000325115753,Success
SmolVLM2-2.2B,vision_token_representation,layer_6,vision_token_layer6,0.686809829706611,Success
SmolVLM2-2.2B,vision_token_representation,layer_12,vision_token_layer12,0.6844863731656184,Success
SmolVLM2-2.2B,vision_token_representation,layer_18,vision_token_layer18,0.6800945077859618,Success
SmolVLM2-2.2B,vision_token_representation,layer_23,vision_token_layer23,0.6893953407549412,Success
SmolVLM2-2.2B,query_token_representation,layer_0,query_token_layer0,0.5039686543571116,Success
SmolVLM2-2.2B,query_token_representation,layer_6,query_token_layer6,0.8970770412224351,Success
SmolVLM2-2.2B,query_token_representation,layer_12,query_token_layer12,0.9054711936232469,Success
SmolVLM2-2.2B,query_token_representation,layer_18,query_token_layer18,0.9272147109272525,Success
SmolVLM2-2.2B,query_token_representation,layer_23,query_token_layer23,0.901446484826063,Success
